GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,MNTE001,NAME_M,MNTM001
"G0100010","2007-2011",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",53944,"Autauga County, Alabama",0
"G0100030","2007-2011",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",179523,"Baldwin County, Alabama",0
"G0100050","2007-2011",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",27546,"Barbour County, Alabama",0
"G0100070","2007-2011",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22746,"Bibb County, Alabama",0
"G0100090","2007-2011",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57140,"Blount County, Alabama",0
"G0100110","2007-2011",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10877,"Bullock County, Alabama",0
"G0100130","2007-2011",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20860,"Butler County, Alabama",0
"G0100150","2007-2011",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117614,"Calhoun County, Alabama",0
"G0100170","2007-2011",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34375,"Chambers County, Alabama",0
"G0100190","2007-2011",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25819,"Cherokee County, Alabama",0
"G0100210","2007-2011",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43444,"Chilton County, Alabama",0
"G0100230","2007-2011",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",13953,"Choctaw County, Alabama",0
"G0100250","2007-2011",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",26046,"Clarke County, Alabama",0
"G0100270","2007-2011",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",14010,"Clay County, Alabama",0
"G0100290","2007-2011",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",14881,"Cleburne County, Alabama",0
"G0100310","2007-2011",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",49221,"Coffee County, Alabama",0
"G0100330","2007-2011",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54478,"Colbert County, Alabama",0
"G0100350","2007-2011",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",13286,"Conecuh County, Alabama",0
"G0100370","2007-2011",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",11303,"Coosa County, Alabama",0
"G0100390","2007-2011",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37736,"Covington County, Alabama",0
"G0100410","2007-2011",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13938,"Crenshaw County, Alabama",0
"G0100430","2007-2011",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80246,"Cullman County, Alabama",0
"G0100450","2007-2011",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",49920,"Dale County, Alabama",0
"G0100470","2007-2011",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",43868,"Dallas County, Alabama",0
"G0100490","2007-2011",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",70608,"DeKalb County, Alabama",0
"G0100510","2007-2011",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",78641,"Elmore County, Alabama",0
"G0100530","2007-2011",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",38081,"Escambia County, Alabama",0
"G0100550","2007-2011",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",104216,"Etowah County, Alabama",0
"G0100570","2007-2011",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",17361,"Fayette County, Alabama",0
"G0100590","2007-2011",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",31532,"Franklin County, Alabama",0
"G0100610","2007-2011",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",26646,"Geneva County, Alabama",0
"G0100630","2007-2011",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",9170,"Greene County, Alabama",0
"G0100650","2007-2011",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",15972,"Hale County, Alabama",0
"G0100670","2007-2011",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",17240,"Henry County, Alabama",0
"G0100690","2007-2011",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",100310,"Houston County, Alabama",0
"G0100710","2007-2011",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",53357,"Jackson County, Alabama",0
"G0100730","2007-2011",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",657486,"Jefferson County, Alabama",0
"G0100750","2007-2011",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14644,"Lamar County, Alabama",0
"G0100770","2007-2011",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",92269,"Lauderdale County, Alabama",0
"G0100790","2007-2011",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",34250,"Lawrence County, Alabama",0
"G0100810","2007-2011",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",137855,"Lee County, Alabama",0
"G0100830","2007-2011",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",80966,"Limestone County, Alabama",0
"G0100850","2007-2011",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",11538,"Lowndes County, Alabama",0
"G0100870","2007-2011",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",21489,"Macon County, Alabama",0
"G0100890","2007-2011",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",329299,"Madison County, Alabama",0
"G0100910","2007-2011",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",21130,"Marengo County, Alabama",0
"G0100930","2007-2011",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",30771,"Marion County, Alabama",0
"G0100950","2007-2011",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",92052,"Marshall County, Alabama",0
"G0100970","2007-2011",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",410520,"Mobile County, Alabama",0
"G0100990","2007-2011",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",23159,"Monroe County, Alabama",0
"G0101010","2007-2011",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",228939,"Montgomery County, Alabama",0
"G0101030","2007-2011",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",118521,"Morgan County, Alabama",0
"G0101050","2007-2011",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",10620,"Perry County, Alabama",0
"G0101070","2007-2011",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",19765,"Pickens County, Alabama",0
"G0101090","2007-2011",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",32471,"Pike County, Alabama",0
"G0101110","2007-2011",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",22838,"Randolph County, Alabama",0
"G0101130","2007-2011",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",52490,"Russell County, Alabama",0
"G0101150","2007-2011",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",82363,"St. Clair County, Alabama",0
"G0101170","2007-2011",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",191705,"Shelby County, Alabama",0
"G0101190","2007-2011",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",13758,"Sumter County, Alabama",0
"G0101210","2007-2011",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",82265,"Talladega County, Alabama",0
"G0101230","2007-2011",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",41614,"Tallapoosa County, Alabama",0
"G0101250","2007-2011",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",191489,"Tuscaloosa County, Alabama",0
"G0101270","2007-2011",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",67308,"Walker County, Alabama",0
"G0101290","2007-2011",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",17487,"Washington County, Alabama",0
"G0101310","2007-2011",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",11862,"Wilcox County, Alabama",0
"G0101330","2007-2011",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",24593,"Winston County, Alabama",0
"G0200130","2007-2011",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",3084,"Aleutians East Borough, Alaska",0
"G0200160","2007-2011",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",5488,"Aleutians West Census Area, Alaska",0
"G0200200","2007-2011",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",287390,"Anchorage Municipality, Alaska",0
"G0200500","2007-2011",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",16973,"Bethel Census Area, Alaska",0
"G0200600","2007-2011",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",1035,"Bristol Bay Borough, Alaska",105
"G0200680","2007-2011",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",1770,"Denali Borough, Alaska",250
"G0200700","2007-2011",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",4845,"Dillingham Census Area, Alaska",0
"G0200900","2007-2011",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",96161,"Fairbanks North Star Borough, Alaska",0
"G0201000","2007-2011",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",2519,"Haines Borough, Alaska",250
"G0201050","2007-2011",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",2029,"Hoonah-Angoon Census Area, Alaska",171
"G0201100","2007-2011",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",31244,"Juneau City and Borough, Alaska",0
"G0201220","2007-2011",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",54718,"Kenai Peninsula Borough, Alaska",0
"G0201300","2007-2011",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13417,"Ketchikan Gateway Borough, Alaska",0
"G0201500","2007-2011",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13488,"Kodiak Island Borough, Alaska",0
"G0201640","2007-2011",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1540,"Lake and Peninsula Borough, Alaska",137
"G0201700","2007-2011",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",86817,"Matanuska-Susitna Borough, Alaska",0
"G0201800","2007-2011",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9443,"Nome Census Area, Alaska",0
"G0201850","2007-2011",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",9088,"North Slope Borough, Alaska",0
"G0201880","2007-2011",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7532,"Northwest Arctic Borough, Alaska",0
"G0201950","2007-2011",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Census Area, Alaska",3831,"Petersburg Census Area, Alaska",0
"G0201980","2007-2011",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",5541,"Prince of Wales-Hyder Census Area, Alaska",0
"G0202200","2007-2011",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8879,"Sitka City and Borough, Alaska",0
"G0202300","2007-2011",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",1105,"Skagway Municipality, Alaska",171
"G0202400","2007-2011",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",7000,"Southeast Fairbanks Census Area, Alaska",0
"G0202610","2007-2011",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9596,"Valdez-Cordova Census Area, Alaska",0
"G0202700","2007-2011",,,"Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wade Hampton Census Area, Alaska",7473,"Wade Hampton Census Area, Alaska",0
"G0202750","2007-2011",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2353,"Wrangell City and Borough, Alaska",0
"G0202820","2007-2011",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",731,"Yakutat City and Borough, Alaska",127
"G0202900","2007-2011",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5613,"Yukon-Koyukuk Census Area, Alaska",0
"G0400010","2007-2011",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",70906,"Apache County, Arizona",0
"G0400030","2007-2011",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",130464,"Cochise County, Arizona",0
"G0400050","2007-2011",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",132978,"Coconino County, Arizona",0
"G0400070","2007-2011",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",53380,"Gila County, Arizona",0
"G0400090","2007-2011",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",36720,"Graham County, Arizona",0
"G0400110","2007-2011",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",8472,"Greenlee County, Arizona",0
"G0400120","2007-2011",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20521,"La Paz County, Arizona",0
"G0400130","2007-2011",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",3798374,"Maricopa County, Arizona",0
"G0400150","2007-2011",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",200690,"Mohave County, Arizona",0
"G0400170","2007-2011",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",107418,"Navajo County, Arizona",0
"G0400190","2007-2011",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",974181,"Pima County, Arizona",0
"G0400210","2007-2011",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",351709,"Pinal County, Arizona",0
"G0400230","2007-2011",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",46727,"Santa Cruz County, Arizona",0
"G0400250","2007-2011",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",210838,"Yavapai County, Arizona",0
"G0400270","2007-2011",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",193995,"Yuma County, Arizona",0
"G0500010","2007-2011",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",19146,"Arkansas County, Arkansas",0
"G0500030","2007-2011",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",21966,"Ashley County, Arkansas",0
"G0500050","2007-2011",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",41527,"Baxter County, Arkansas",0
"G0500070","2007-2011",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",216314,"Benton County, Arkansas",0
"G0500090","2007-2011",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",36908,"Boone County, Arkansas",0
"G0500110","2007-2011",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",11580,"Bradley County, Arkansas",0
"G0500130","2007-2011",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",5417,"Calhoun County, Arkansas",0
"G0500150","2007-2011",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",27145,"Carroll County, Arkansas",0
"G0500170","2007-2011",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",11947,"Chicot County, Arkansas",0
"G0500190","2007-2011",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",23066,"Clark County, Arkansas",0
"G0500210","2007-2011",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",16136,"Clay County, Arkansas",0
"G0500230","2007-2011",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",25788,"Cleburne County, Arkansas",0
"G0500250","2007-2011",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",8738,"Cleveland County, Arkansas",0
"G0500270","2007-2011",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",24607,"Columbia County, Arkansas",0
"G0500290","2007-2011",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",21164,"Conway County, Arkansas",0
"G0500310","2007-2011",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",95034,"Craighead County, Arkansas",0
"G0500330","2007-2011",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",61336,"Crawford County, Arkansas",0
"G0500350","2007-2011",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",50701,"Crittenden County, Arkansas",0
"G0500370","2007-2011",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",17992,"Cross County, Arkansas",0
"G0500390","2007-2011",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",8200,"Dallas County, Arkansas",0
"G0500410","2007-2011",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",13131,"Desha County, Arkansas",0
"G0500430","2007-2011",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",18499,"Drew County, Arkansas",0
"G0500450","2007-2011",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",111058,"Faulkner County, Arkansas",0
"G0500470","2007-2011",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",18157,"Franklin County, Arkansas",0
"G0500490","2007-2011",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",12301,"Fulton County, Arkansas",0
"G0500510","2007-2011",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",95914,"Garland County, Arkansas",0
"G0500530","2007-2011",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",17767,"Grant County, Arkansas",0
"G0500550","2007-2011",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",41764,"Greene County, Arkansas",0
"G0500570","2007-2011",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",22658,"Hempstead County, Arkansas",0
"G0500590","2007-2011",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",32797,"Hot Spring County, Arkansas",0
"G0500610","2007-2011",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",13786,"Howard County, Arkansas",0
"G0500630","2007-2011",,,"Arkansas","05","Independence County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Independence County, Arkansas",36279,"Independence County, Arkansas",0
"G0500650","2007-2011",,,"Arkansas","05","Izard County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Izard County, Arkansas",13600,"Izard County, Arkansas",0
"G0500670","2007-2011",,,"Arkansas","05","Jackson County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Arkansas",17969,"Jackson County, Arkansas",0
"G0500690","2007-2011",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",77693,"Jefferson County, Arkansas",0
"G0500710","2007-2011",,,"Arkansas","05","Johnson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Arkansas",25408,"Johnson County, Arkansas",0
"G0500730","2007-2011",,,"Arkansas","05","Lafayette County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette County, Arkansas",7691,"Lafayette County, Arkansas",0
"G0500750","2007-2011",,,"Arkansas","05","Lawrence County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Arkansas",17336,"Lawrence County, Arkansas",0
"G0500770","2007-2011",,,"Arkansas","05","Lee County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Arkansas",10563,"Lee County, Arkansas",0
"G0500790","2007-2011",,,"Arkansas","05","Lincoln County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Arkansas",14141,"Lincoln County, Arkansas",0
